City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,277.31,90,100,2.4,CL,1713922617
1,vung tau,10.346,107.0843,302.56,74,98,4.77,VN,1713922911
2,invercargill,-46.4,168.35,292.6,56,100,3.13,NZ,1713922619
3,bethel,41.3712,-73.414,282.79,60,100,1.34,US,1713922914
4,klyuchi,52.2667,79.1667,274.86,50,24,6.24,RU,1713922640
5,mossel bay,-34.1831,22.146,288.11,93,100,0.35,ZA,1713922914
6,east london,-33.0153,27.9116,294.12,87,75,4.1,ZA,1713922914
7,grytviken,-54.2811,-36.5092,271.0,78,52,10.95,GS,1713922914
8,waitangi,-43.9535,-176.5597,289.16,84,15,6.71,NZ,1713922916
9,mirnyy,62.5353,113.9611,272.72,94,92,3.58,RU,1713922917
10,edinburgh of the seven seas,-37.0676,-12.3116,288.61,73,43,3.72,SH,1713922635
11,enewetak,11.3474,162.3373,300.84,81,100,8.37,MH,1713922920
12,manado,1.487,124.8455,302.58,89,40,0.51,ID,1713922922
13,port-aux-francais,-49.35,70.2167,277.46,67,49,15.0,TF,1713922922
14,adamstown,-25.066,-130.1015,296.17,86,100,9.54,PN,1713922922
15,ilulissat,69.2167,-51.1,278.16,70,9,2.57,GL,1713922641
16,wailua homesteads,22.0669,-159.378,301.39,77,75,8.75,US,1713922924
17,celestun,20.8667,-90.4,299.04,77,0,7.17,MX,1713922931
18,prado,-17.3411,-39.2208,298.11,88,4,0.88,BR,1713922653
19,akureyri,65.6835,-18.0878,274.11,86,0,1.03,IS,1713922931
20,three points,32.0767,-111.3137,304.34,13,0,5.81,US,1713922932
21,zango,13.0515,8.4877,303.22,30,92,1.86,NG,1713922932
22,nova vicosa,-17.8919,-39.3719,297.46,88,3,1.85,BR,1713922641
23,tralee,52.2704,-9.7026,281.9,91,93,1.5,IE,1713922933
24,papao,-17.75,-149.55,302.97,75,36,2.87,PF,1713922933
25,howard springs,-12.497,131.047,305.27,78,17,3.26,AU,1713922935
26,los andes,-32.8337,-70.5983,288.16,50,97,0.49,CL,1713922937
27,tura,25.5198,90.2201,304.22,37,7,3.18,IN,1713922938
28,tejen,37.3834,60.5054,293.31,54,73,7.33,TM,1713922938
29,ribeira grande,38.5167,-28.7,289.14,83,100,6.26,PT,1713922632
30,pandan,14.0453,124.1694,303.19,71,20,1.74,PH,1713922941
31,mary,37.0,62.5,294.28,42,71,6.06,TM,1713922941
32,albany,42.6001,-73.9662,286.89,44,97,4.09,US,1713922641
33,yellowknife,62.456,-114.3525,275.13,83,75,3.09,CA,1713922941
34,leninskoye,41.7589,69.3864,291.03,54,67,2.04,KZ,1713922941
35,ulladulla,-35.35,150.4667,296.35,47,23,3.52,AU,1713922941
36,asau,46.4333,26.4,280.66,100,100,0.89,RO,1713922941
37,papatowai,-46.5619,169.4708,289.87,66,100,1.49,NZ,1713922941
38,mana,5.6592,-53.7767,299.45,78,83,4.88,GF,1713922942
39,santa cruz,-17.8,-63.1667,298.85,94,2,2.06,BO,1713922621
40,leh,34.1667,77.5833,268.32,69,85,0.79,IN,1713922943
41,blackmans bay,-43.0167,147.3167,286.22,60,19,2.24,AU,1713922945
42,abong mbang,3.9833,13.1833,294.02,97,100,1.41,CM,1713922945
43,longyearbyen,78.2186,15.6401,267.06,79,0,4.63,SJ,1713922946
44,uturoa,-16.7333,-151.4333,301.55,74,7,2.49,PF,1713922861
45,benguela,-12.5763,13.4055,299.39,88,100,1.04,AO,1713922920
46,jamestown,42.097,-79.2353,282.92,95,100,3.09,US,1713922946
47,pitimbu,-7.4706,-34.8086,300.48,80,90,3.35,BR,1713922946
48,pajara,28.3504,-14.1076,291.88,74,77,4.85,ES,1713922946
49,puerto baquerizo moreno,-0.9,-89.6,297.14,88,99,3.6,EC,1713922604
50,jiaojiang,28.6803,121.4428,295.12,72,92,2.01,CN,1713922700
51,vangaindrano,-23.35,47.6,295.78,91,82,0.82,MG,1713922947
52,bontang,0.1333,117.5,302.24,71,48,2.54,ID,1713922948
